repository,packaging_style,region_id,cohesion,coupling,score,action,decision_confidence,boundary
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp",0,1,0,reconstruct,0.5,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.common",1.3636,0.7115,0.4327,reconstruct,0.0673,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend",6.8571,0.6129,0.6299,preserve,0.1299,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend.challenge",4.2857,0.6875,0.5617,preserve,0.0617,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend.challenge.dto",0.2,0.9778,0.0944,reconstruct,0.4056,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend.dto",1.6,0.8621,0.3767,reconstruct,0.1233,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend.presence",2.75,0.6333,0.55,preserve,0.0500,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.friend.presence.dto",0,1,0,reconstruct,0.5,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification",5.25,0.7143,0.5629,preserve,0.0629,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification.achievement",6,0.4,0.7286,preserve,0.2286,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification.battle",9.0882,0.2117,0.8446,preserve,0.3446,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification.coins",2.3333,0.7407,0.4796,reconstruct,0.0204,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification.leaderboard",8.7778,0.3577,0.7700,preserve,0.2700,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.gamification.streak",0.6667,0.9375,0.2312,reconstruct,0.2688,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.problem",7.3333,0.5165,0.6818,preserve,0.1818,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.sse",1,0.7857,0.3571,reconstruct,0.1429,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.store",4.0833,0.2222,0.7905,preserve,0.2905,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.sync",0.5,0.9512,0.1911,reconstruct,0.3089,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.user",6.3636,0.6465,0.6089,preserve,0.1089,0.5
"Vantage (Spring Boot)","Feature/domain","pkg:com.backend.springapp.user.dto",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:my.company.merge.config",0,1,0,reconstruct,0.5,0.5
