repository,boundary,preserved_count,reconstructed_count,total_regions
"Vantage (Spring Boot)",0,20,0,20
"Vantage (Spring Boot)",0.05,17,3,20
"Vantage (Spring Boot)",0.1,16,4,20
"Vantage (Spring Boot)",0.15,16,4,20
"Vantage (Spring Boot)",0.2,15,5,20
"Vantage (Spring Boot)",0.25,14,6,20
"Vantage (Spring Boot)",0.3,14,6,20
"Vantage (Spring Boot)",0.35,14,6,20
"Vantage (Spring Boot)",0.4,12,8,20
"Vantage (Spring Boot)",0.45,11,9,20
"Vantage (Spring Boot)",0.5,10,10,20
"Vantage (Spring Boot)",0.55,10,10,20
"Vantage (Spring Boot)",0.6,7,13,20
"Vantage (Spring Boot)",0.65,5,15,20
"Vantage (Spring Boot)",0.7,4,16,20
"Vantage (Spring Boot)",0.75,3,17,20
"Vantage (Spring Boot)",0.8,,20,20
"Vantage (Spring Boot)",0.85,0,20,20
"Vantage (Spring Boot)",0.9,0,20,20
"Vantage (Spring Boot)",0.95,0,20,20
"Vantage (Spring Boot)",1,0,20,20
"Broadleaf Commerce",0,502,0,502
"Broadleaf Commerce",0.05,286,216,502
"Broadleaf Commerce",0.1,274,228,502
"Broadleaf Commerce",0.15,258,244,502
"Broadleaf Commerce",0.2,195,307,502
"Broadleaf Commerce",0.25,146,356,502
"Broadleaf Commerce",0.3,111,391,502
"Broadleaf Commerce",0.35,93,409,502
"Broadleaf Commerce",0.4,71,431,502
"Broadleaf Commerce",0.45,55,447,502
"Broadleaf Commerce",0.5,38,464,502
"Broadleaf Commerce",0.55,27,475,502
"Broadleaf Commerce",0.6,17,485,502
"Broadleaf Commerce",0.65,12,490,502
"Broadleaf Commerce",0.7,6,496,502
"Broadleaf Commerce",0.75,3,499,502
"Broadleaf Commerce",0.8,2,500,502
"Broadleaf Commerce",0.85,0,502,502
"Broadleaf Commerce",0.9,0,502,502
"Broadleaf Commerce",0.95,0,502,502
"Broadleaf Commerce",1,0,502,502
